quarter,msft,googl,meta,amzn,status,note
2024Q1,14.0,12.0,6.7,15.0,actual~,보고치 근사(리스 포함 기준 차이 있음 — 확인 후 보정)
2024Q2,19.0,13.2,8.5,17.6,actual~,
2024Q3,20.0,13.1,9.2,22.6,actual~,
2024Q4,22.6,14.3,14.8,27.8,actual~,
2025Q1,21.4,17.2,13.7,25.0,actual~,
2025Q2,24.2,22.4,17.0,31.4,actual~,
2025Q3,34.9,24.0,19.4,34.2,actual~,MSFT 급증(FY26Q1)
2025Q4,37.0,28.0,21.5,39.0,estimate,실적 발표치로 교체 필요
2026Q1,39.9,37.8,29.4,45.2,estimate,연간 가이던스(190/180/140/215≈725) x 램프 0.21
2026Q2,45.6,43.2,33.6,51.6,estimate,7/22~ 실적 시즌에 실제치로 교체
2026Q3,49.4,46.8,36.4,55.9,estimate,램프 0.26
2026Q4,55.1,52.2,40.6,62.4,estimate,램프 0.29
