month,dfii10,status
2024-01,1.73,actual~
2024-02,1.88,actual~
2024-03,1.87,actual~
2024-04,2.20,actual~
2024-05,2.12,actual~
2024-06,2.09,actual~
2024-07,1.83,actual~
2024-08,1.75,actual~
2024-09,1.59,actual~
2024-10,1.94,actual~
2024-11,1.94,actual~
2024-12,2.24,actual~
2025-01,2.09,actual~
2025-02,1.94,actual~
2025-03,1.85,actual~
2025-04,2.02,actual~
2025-05,2.13,actual~
2025-06,1.99,actual~
2025-07,1.95,actual~
2025-08,1.79,actual~
2025-09,1.72,actual~
2025-10,1.71,actual~
2025-11,1.76,approx
2025-12,1.74,approx
2026-01,1.80,approx
2026-02,,fill_me
2026-03,,fill_me
2026-04,,fill_me
2026-05,,fill_me
2026-06,,fill_me
2026-07,,fill_me
